Species Common Name,Scientific Name,TaxonClass,Overall Sample Size,Overall MLE,Overall CI - lower,Overall CI - upper,Male Sample Size,Male MLE,Male CI - lower
"Koala, Queensland",Phascolarctos cinereus adustus,Mammalia,,10.2,8.9,11.1,108,10.1,7.6
"Kob, Uganda",Kobus kob thomasi,Mammalia,,7.3,6.3,9.3,124,5.5,3.4
"Kookaburra, Laughing",Dacelo novaeguineae,Aves,,16.8,15.4,17.9,350,17.2,13.7
"Kudu, Greater",Tragelaphus strepsiceros,Mammalia,,8.4,8,8.6,649,6.8,6.4
"Langur, Francois'",Trachypithecus francoisi francoisi,Mammalia,,14.9,12.2,16.2,84,14.6,12
"Langur, Silvered Leaf",Trachypithecus cristatus ultimus,Mammalia,,8.9,6.9,10.1,67,9.6,7.2
"Lapwing, Masked",Vanellus miles,Aves,,12.5,9.5,15,74,8,6.2
"Lapwing, Spur-winged",Vanellus spinosus,Aves,,5.9,5.1,6.7,163,6.3,4.8
"Laughingthrush, White-crested",Garrulax leucolophus,Aves,,15,12.5,18.1,91,17.3,11.9
"Lechwe, Nile",Kobus megaceros,Mammalia,,9.1,8.3,9.4,268,9,7.8
"Lechwe, Red",Kobus leche,Mammalia,,7.6,6.8,9.8,207,7,5.6
"Leiothrix, Red-billed",Leiothrix lutea,Aves,,7.8,6.2,9,117,9.7,6.5
"Lemur, Black and White Ruffed",Varecia variegata,Mammalia,,18.5,17.1,19.9,349,19.3,16.8
"Lemur, Collared",Eulemur collaris,Mammalia,,23.4,20,25.6,44,23.4,21
"Lemur, Gray Mouse",Microcebus murinus,Mammalia,,8.7,8.1,9.4,153,8.7,7.9
"Lemur, Mongoose",Eulemur mongoz,Mammalia,,22.8,21.4,26.6,83,25.1,20.1
"Lemur, Red Ruffed",Varecia rubra,Mammalia,,19.9,18.5,21.1,241,20.7,19
"Lemur, Ring-tailed",Lemur catta,Mammalia,,16.5,15.7,17.1,1043,16.5,15.6
"Leopard, Amur",Panthera pardus orientalis,Mammalia,,18.2,17.5,18.8,93,17.7,16.6
"Leopard, Clouded",Neofelis nebulosa,Mammalia,,13.1,12.6,13.8,213,13.1,12.4
"Leopard, Snow",Unica unica,Mammalia,,15.2,14.5,15.6,287,14.8,13.9
Lion,Panthera leo,Mammalia,,16.9,16.4,17.4,556,16.6,16.1
"Lizard, Chinese Crocodile",Shinisaurus crocodilurus,Reptilia,,12.2,10.4,13.4,116,13.4,11.1
"Lizard, Rio Fuerte Beaded",Heloderma horridum exasperatum�,Reptilia,,24.2,22,25.4,235,28.2,24.6
"Loris, Pygmy",Nycticebus pygmaeus,Mammalia,,12.4,11.4,13.2,85,12.2,11.1
"Lynx, Canada",Lynx canadensis,Mammalia,,14.9,13.5,15.9,178,15.6,13.2
"Macaque, Japanese",Macaca fuscata,Mammalia,,22.3,20.6,23.8,109,18.5,17.2
"Macaque, Lion-tailed",Macaca silenus,Mammalia,,26.6,25.4,27.8,93,26.4,24
"Macaque, Sulawesi",Macaca nigra,Mammalia,,14.7,12,16.3,,,
"Macaw, Hyacinth",Anodorhynchus hyacinthinus,Aves,,24.3,22.2,25.8,249,25.2,21.2
"Magpie, Azure-winged",Cyanopica cyanus,Aves,,10.2,8.6,12.4,76,9.7,8.3
"Magpie, Red-billed Blue",Urocissa erythrorhyncha,Aves,,11.5,8.5,14.4,46,13.3,7.6
Mandrill,Mandrillus sphinx,Mammalia,,20.1,18.9,21.6,107,20.1,18.4
"Mangabey, Red-capped",Cercocebus torquatus,Mammalia,,17.8,15.6,19,64,18.1,13
"Markhor, Turkmenian",Capra falconeri heptneri,Mammalia,,9.4,9,10.1,405,11,9.1
"Marmoset, Geoffroy's",Callithrix geoffroyi,Mammalia,,7.3,6.5,7.8,200,7.4,6.2
"Marmoset, Pygmy",Callithrix pygmaea,Mammalia,,5.9,5.5,6.3,460,6.4,5.9
Meerkat,Suricata suricatta,Mammalia,,9.6,9.3,9.9,1021,9.7,9.2
"Monkey, Bolivian Gray Titi",Callicebus donacophilus,Mammalia,,15.3,12.1,17,169,16.8,13.8
"Monkey, Central American Spider (Geoffroy's)",Ateles goeffroyi,Mammalia,,25.1,23.3,27,452,24.5,20.4
"Monkey, Common Squirrel",Saimiri sciureus,Mammalia,,14.7,13.7,16.2,164,13.7,12.5
"Monkey, DeBrazza's",Cercopithecus neglectus,Mammalia,,15,13.9,16.1,294,15.7,14
"Monkey, Patas",Erythrocebus patas,Mammalia,,14.7,12.9,16.1,240,13.6,11.1
"Monkey, Robust Black Spider",Ateles fusciceps robustus,Mammalia,,26.2,23.1,32.5,101,26.6,24.7
"Monkey, Schmidt�s Red-tailed",Cercopithecus ascanius schmidti ,Mammalia,,16,13.8,18.3,82,14.3,11.5
"Monkey, Southern Black Howler",Alouatta caraya,Mammalia,,17.9,16.8,19.9,133,17.8,15.7
Moose,Alces alces,Mammalia,,6.6,5.3,7.7,66,5,3.9
"Motmot, Blue-crowned",Momotus momota,Aves,,7.2,6.3,8.4,227,7.6,6.3
"Mynah, Bali",Leucopsar rothschildi,Aves,,9.9,9,10.9,341,9.7,7.7
"Mynah, Golden-crested",Ampeliceps coronatus,Aves,,6,4.8,6.7,78,6,4.3
"Nyala, Lowland",Tragelaphus angasii,Mammalia,,6.9,6.3,7.7,553,4.9,4.2
Ocelot,Leopardus pardalis,Mammalia,,15.4,13.8,16.5,182,14.8,13.6
Okapi,Okapia johnstoni,Mammalia,,16.4,15.2,17.5,173,17,15.2
"Orangutan, Bornean",Pongo pygmaeus,Mammalia,,31.5,27.7,34.6,83,27.3,20
"Orangutan, Sumatran",Pongo abelii,Mammalia,,28.7,25.6,32.6,105,25.2,20.4
"Oryx, Arabian",Oryx leucoryx,Mammalia,,13.6,12.5,14.2,516,11.3,10.3
"Oryx, Fringe-eared",Oryx gazelle callotis,Mammalia,,11.2,9.1,13.5,128,9.5,5.7
"Oryx, Scimitar-horned",Oryx dammah,Mammalia,,14.2,13.3,14.8,691,10.7,8.3
Ostrich,Struthio camelus,Aves,,10.6,9.8,12,433,9.4,6.8
"Otter, Asian Small-clawed",Amblonyx cinereus,Mammalia,,12.6,11.8,13,223,14,13
"Otter, North American River",Lontra canadensis,Mammalia,,12,10.9,12.7,498,12.1,10.5
"Otter, Sea",Enhydra lutris kenyoni & E. l. nereis,Mammalia,,14.8,12.4,16.5,56,14.6,11.7
"Owl, Burrowing",Athene cunicularia,Aves,,7.5,7,7.8,300,7.8,7.2
"Owl, Snowy",Nyctea scandiaca,Aves,,10.1,8.9,11.2,159,10.3,8.8
"Panda, Red (fulgens)",Ailurus fulgens fulgens,Mammalia,,10.5,9.6,11.2,242,10.5,9.4
"Panda, Red (refulgens)",Ailurus fulgens refulgens (styani),Mammalia,,12,10.6,13.5,90,11.5,10.1
"Parrot, Hawk-headed",Deroptyus accipitrinus,Aves,,20.4,15.1,25.2,85,28.3,20.5
"Parrot, Thick-billed",Rhynchopsitta pachyrhyncha,Aves,,10.7,8.3,12.4,149,11.6,8.6
"Peafowl, Congo",Afropavo congensis,Aves,,7.3,5,8.9,84,7.9,5.6
"Pelican, Pink-backed",Pelecanus rufescens,Aves,,12.8,9.6,13.9,72,12.6,9.6
"Penguin, Adelie",Pygoscelis adeliae,Aves,,17.3,16.3,19.2,183,16.8,15.2
"Penguin, African",Speniscus demersus,Aves,,17.4,16.3,18.8,911,18.9,17.1
"Penguin, Chinstrap",Pygoscelis antarctica,Aves,,25.5,22.4,29,159,25.1,19.9
"Penguin, Gentoo (ellsworthi)",Pygoscelis papua ellsworthi,Aves,,26.9,24.1,28.2,195,26.9,22.2
"Penguin, Humboldt",Spheniscus humboldti,Aves,,16.5,14.7,18.9,361,18.3,15
"Penguin, King",Aptenodytes patagonicus,Aves,,25.4,23.7,26.3,246,25.5,23.7
"Penguin, Macaroni",Eudyptes chrysolophus,Aves,,26.3,25.6,28.5,132,26.3,22.8
"Penguin, Magellanic",Spheniscus magellanicus,Aves,,8.5,7.6,10.5,276,8.8,7.4
"Penguin, Northern & Southern Rockhopper (combined)",Eudyptes chrysocome moseleyi,Aves,,24.9,22.5,27.15,301,23.7,20.8
"Pheasant, Palawan Peacock",Polyplectron emphanum,Aves,,7.1,6.2,8.2,172,8.4,6.5
"Pigeon, Green-naped Pheasant",Otidiphaps nobilis,Aves,,8.6,6.8,10.3,101,7.9,6.1
"Pigeon, Nicobar",Caloenas nicobarica,Aves,,14.6,12.8,16.9,428,16.9,14.7
"Pigeon, Victoria Crowned",Goura victoria,Aves,,12.3,10.5,14,172,12.6,10.4
"Pigeon, Western (Blue) Crowned",Goura cristata,Aves,,6.9,5.9,9.1,152,6.9,5.3
"Pitta, Hooded",Pitta sordida,Aves,,3.2,2.6,3.7,109,3.7,2.6
"Porcupine, Prehensile-tailed",Coendou prehensilis,Mammalia,,10.9,9.7,11.7,130,10.1,7.6
"Pudu, Chilean",Pudu puda,Mammalia,,7.6,6.1,8.8,71,7.1,4.3
"Puffin, Atlantic",Fratercula arctica,Aves,,14.6,12.1,16.2,181,15.4,13.1
Puma,Puma concolor,Mammalia,,15.1,14.5,15.5,388,13.6,12.7
"Python, Reticulated",Python reticulatus,Reptilia,,11.1,7,15,37,7.2,4.1
"Quoll, Tiger",Dasyurus maculatus,Mammalia,,5,4.7,5.1,26,4.8,4.6
"Rail, Guam",Gallirallus owstoni,Aves,,7.3,6.3,8.2,168,9.6,8.2
